"data";"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply";"Manufacturing";"Electricity, gas, steam and air conditioning supply"
1991-01-01;82,5;81;79,9
1991-02-01;81,5;79,7;84,4
1991-03-01;80,7;79,4;77,9
1991-04-01;80,2;78,7;79,8
1991-05-01;80,2;78,1;84,5
1991-06-01;81,7;80;81,2
1991-07-01;80,2;78,7;80
1991-08-01;80,1;78,6;79,2
1991-09-01;80,3;78,6;80
1991-10-01;80,6;79;81,1
1991-11-01;81,5;79,8;82,8
1991-12-01;80,9;79,2;83,5
1992-01-01;81,9;80,1;83,5
1992-02-01;82,2;80,6;82,8
1992-03-01;81,4;79,7;83
1992-04-01;81,3;79,5;83,2
1992-05-01;80,8;79,1;81,5
1992-06-01;80;78,3;80,4
1992-07-01;79;77,3;81,4
1992-08-01;78,9;77,1;81,3
1992-09-01;78,2;76,3;81,6
1992-10-01;78,4;76,3;83,8
1992-11-01;77,6;75,8;80
1992-12-01;76,2;74,6;79,4
1993-01-01;76,8;74,8;79,9
1993-02-01;76,1;73,9;82,6
1993-03-01;75,9;73,8;83
1993-04-01;75,5;73,4;80,6
1993-05-01;75,3;73,4;80,9
1993-06-01;74,9;72,9;81,2
1993-07-01;74,5;72,5;79,6
1993-08-01;75,5;73,5;80,7
1993-09-01;75,8;73,6;82,2
1993-10-01;76;73,9;82,5
1993-11-01;75,9;73,6;86,1
1993-12-01;76,1;74;81,9
1994-01-01;76,1;74,4;81,1
1994-02-01;77,3;75,3;83,1
1994-03-01;77,3;75,5;80,6
1994-04-01;78,6;76,7;85,1
1994-05-01;78,5;76,6;83,1
1994-06-01;79,1;77,2;84
1994-07-01;79,3;77,3;85,3
1994-08-01;79,5;77,6;84,6
1994-09-01;80;77,9;84,5
1994-10-01;80,8;78,9;84,2
1994-11-01;81,4;79,8;81,4
1994-12-01;82,3;80,7;82,8
1995-01-01;81,7;79,9;86,1
1995-02-01;81,9;80,3;81,5
1995-03-01;81,8;79,8;86,7
1995-04-01;82,1;80,1;86
1995-05-01;82,4;80,5;86,1
1995-06-01;82,1;80,2;86
1995-07-01;82;80,2;85,9
1995-08-01;82;80;85,5
1995-09-01;82,5;80,6;85,7
1995-10-01;81,4;79,8;82,8
1995-11-01;81,8;79,8;86,6
1995-12-01;82,8;80,7;87,8
1996-01-01;81,8;79,9;87
1996-02-01;81,6;79,2;91,2
1996-03-01;81,7;79,2;91,1
1996-04-01;81;78,9;86,1
1996-05-01;81,9;79,7;89,1
1996-06-01;81,9;80;87,8
1996-07-01;81,1;79,3;87
1996-08-01;82,2;80,2;87
1996-09-01;82,2;80,2;88,7
1996-10-01;81,8;79,7;88,4
1996-11-01;82,5;80,5;88,3
1996-12-01;82,4;80,1;89,5
1997-01-01;82,6;80,2;91,7
1997-02-01;83,1;81,2;87,1
1997-03-01;84,1;82,3;85,6
1997-04-01;85;83,1;89,4
1997-05-01;84,1;82,1;90
1997-06-01;85,6;83,8;90,2
1997-07-01;86,3;84,5;89,8
1997-08-01;86,4;84,6;90,4
1997-09-01;86,1;84,5;89,5
1997-10-01;87,4;85,6;91
1997-11-01;87,1;85,2;90,6
1997-12-01;88;86,3;90,1
1998-01-01;88,3;86,8;88,7
1998-02-01;88,7;87,1;88,9
1998-03-01;88,7;87,2;90,6
1998-04-01;89;87,3;91,7
1998-05-01;89,4;87,8;90,6
1998-06-01;88,9;87,3;91,2
1998-07-01;89,9;88,2;92,1
1998-08-01;88,5;86,7;91,8
1998-09-01;88,9;87,2;91,8
1998-10-01;89,1;87,4;91,9
1998-11-01;88,6;86,9;94,1
1998-12-01;88;85,5;94
1999-01-01;89,5;87,9;91,5
1999-02-01;88,4;86,5;94,1
1999-03-01;88,6;86,7;91,6
1999-04-01;89;87,2;91,3
1999-05-01;89,2;87,5;92,4
1999-06-01;89,9;88,2;93,5
1999-07-01;90,7;88,8;93,9
1999-08-01;90,5;88,6;95,3
1999-09-01;91,4;89,7;94,8
1999-10-01;92,3;90,5;95,8
1999-11-01;92,7;90,8;97,3
1999-12-01;92,4;90,3;96,8
2000-01-01;92,1;90;97,9
2000-02-01;93,2;91,4;96,4
2000-03-01;93,6;91,9;97,4
2000-04-01;94,7;92,7;98,1
2000-05-01;96;94,2;97,9
2000-06-01;94,7;93,1;97,3
2000-07-01;95,9;94;98,4
2000-08-01;95,9;94,2;99
2000-09-01;96;94,5;99,5
2000-10-01;96,1;94,9;98
2000-11-01;97,2;95,8;97,9
2000-12-01;97,8;96,8;95,8
2001-01-01;96,9;95,6;97,1
2001-02-01;97,4;96,1;96,9
2001-03-01;96,8;95,3;98,1
2001-04-01;95,9;93,8;98,9
2001-05-01;96,3;94,2;99,9
2001-06-01;96,3;94,7;98,7
2001-07-01;94,4;92,7;98,8
2001-08-01;96,8;94,9;100,6
2001-09-01;95,5;93,5;101,1
2001-10-01;94,2;92,6;98,6
2001-11-01;93,5;91,3;101,5
2001-12-01;94,2;91,9;103,8
2002-01-01;94,3;92,2;101,5
2002-02-01;94,5;92,9;97,2
2002-03-01;95,3;93,6;98,6
2002-04-01;95,2;93;101,7
2002-05-01;95,6;93,2;102
2002-06-01;96;94;102,6
2002-07-01;95,3;92,9;101,4
2002-08-01;95,6;93,8;100,4
2002-09-01;95,9;93,7;102,2
2002-10-01;95,4;93;103,2
2002-11-01;96;94,3;100,8
2002-12-01;94,5;92,4;99,7
2003-01-01;96;93,7;103,5
2003-02-01;96,2;93,3;107,6
2003-03-01;95,5;93,4;103,2
2003-04-01;95,9;93,5;104,7
2003-05-01;94,2;92;103,5
2003-06-01;94,2;92;105,3
2003-07-01;95,8;93,7;104,5
2003-08-01;94,8;92;105,9
2003-09-01;94,4;92,3;102,4
2003-10-01;96,9;94,2;105,8
2003-11-01;96,6;94,5;103,1
2003-12-01;96,9;94,6;102,4
2004-01-01;96,7;94,2;105,4
2004-02-01;97,2;94,9;105,2
2004-03-01;96,9;94,6;107,9
2004-04-01;97,8;95,5;105,9
2004-05-01;97,9;95,6;106,4
2004-06-01;97,9;95,8;106
2004-07-01;98,7;96,8;105,8
2004-08-01;96,6;93,8;106
2004-09-01;98,1;95,8;108
2004-10-01;98,7;96,4;107,5
2004-11-01;97,5;95;108,6
2004-12-01;97,5;94,9;107,8
2005-01-01;98,4;96,5;105
2005-02-01;98,1;95,5;110,3
2005-03-01;98;95,6;108,9
2005-04-01;99,5;97,2;108,5
2005-05-01;98,1;95,8;107,6
2005-06-01;99;96,6;108,8
2005-07-01;99,6;97,3;108,4
2005-08-01;98,4;96,6;106,9
2005-09-01;99,8;97,9;108,7
2005-10-01;100;98,1;106,8
2005-11-01;101,6;99,5;109,9
2005-12-01;100,6;98,3;112,1
2006-01-01;101,3;98,8;113,4
2006-02-01;101,3;98,7;112,5
2006-03-01;102;99,4;112,9
2006-04-01;102,3;100,1;109,1
2006-05-01;103,9;102,1;108,1
2006-06-01;103,8;101,8;110
2006-07-01;103,5;101,6;112
2006-08-01;103,8;102,3;109,1
2006-09-01;103,9;102,5;109
2006-10-01;103,7;102,4;106,7
2006-11-01;104,6;103,1;106,3
2006-12-01;106,3;105;107,4
2007-01-01;105,6;104,8;104,5
2007-02-01;106,3;105,2;105,6
2007-03-01;107;105,6;106,9
2007-04-01;105,5;104,3;106,5
2007-05-01;107,4;106;109,6
2007-06-01;107,4;105,7;110,8
2007-07-01;107,5;106,2;109,1
2007-08-01;108,3;107;109,7
2007-09-01;107,9;106,3;110,2
2007-10-01;108,9;107;112,5
2007-11-01;108,1;106,1;112,8
2007-12-01;108,6;107,1;111,1
2008-01-01;109,6;108,6;106,8
2008-02-01;109,4;108,4;106,8
2008-03-01;108,8;107,5;109,5
2008-04-01;110,3;108;115,6
2008-05-01;107;105,6;109,1
2008-06-01;106,9;105,7;110,8
2008-07-01;106,1;104,4;109,7
2008-08-01;105,6;104,4;110
2008-09-01;104,7;103;110,9
2008-10-01;102,5;100,4;109
2008-11-01;98,5;96,7;107
2008-12-01;94,9;93;105,9
2009-01-01;91,1;88,3;107,9
2009-02-01;89,1;86,3;105,1
2009-03-01;87,8;85,5;101
2009-04-01;86,7;84,5;99,8
2009-05-01;88,8;86,6;101,4
2009-06-01;89,2;86,8;103,5
2009-07-01;89,4;86,9;103,8
2009-08-01;89,4;87;105,8
2009-09-01;91,6;89,5;104,5
2009-10-01;91,4;88,9;105,3
2009-11-01;91,5;89,4;102
2009-12-01;91,6;89,2;106,5
2010-01-01;93,1;90,3;110
2010-02-01;92,6;90;108,7
2010-03-01;94,5;92,2;107,5
2010-04-01;94,7;92,6;107,1
2010-05-01;96,5;94,1;109,6
2010-06-01;96,6;95;104,9
2010-07-01;96,2;94,3;107
2010-08-01;97,1;95;106,2
2010-09-01;97,2;95,6;106,2
2010-10-01;98;96,3;107,9
2010-11-01;99;97,1;108,9
2010-12-01;99,6;97,5;113,2
2011-01-01;99,1;97,7;107
2011-02-01;100,2;98,9;105,4
2011-03-01;100,2;98,9;107,3
2011-04-01;99,8;99;102,1
2011-05-01;100,4;99,5;104
2011-06-01;99;98,1;103,4
2011-07-01;100,1;99;103,3
2011-08-01;100,2;99,3;104,2
2011-09-01;99,1;98,1;103,9
2011-10-01;98,8;98;102,5
2011-11-01;99,1;98,2;102,4
2011-12-01;98,6;97,7;100,6
2012-01-01;97,7;96,8;101,6
2012-02-01;98,5;96,6;111,2
2012-03-01;98,3;97,7;99,3
2012-04-01;97,5;95,8;106,8
2012-05-01;98,3;97,1;103,6
2012-06-01;97,4;96,2;104,1
2012-07-01;97,7;96,8;102,7
2012-08-01;98,5;97,5;104,4
2012-09-01;96,6;95,5;102,4
2012-10-01;95,9;94,8;102,1
2012-11-01;95,1;94;101,4
2012-12-01;95,6;94,6;101,3
2013-01-01;95,2;94;101,7
2013-02-01;95,4;93,9;103,6
2013-03-01;96,5;94,6;108,2
2013-04-01;96,6;95,1;106,3
2013-05-01;96,8;95,6;103,1
2013-06-01;96,9;95,8;101
2013-07-01;95,9;94,9;100,5
2013-08-01;96,6;95,6;100,6
2013-09-01;96,7;95,7;101,3
2013-10-01;96,1;95,3;99,9
2013-11-01;97,5;96,7;101,7
2013-12-01;97,2;96,6;100,5
2014-01-01;97;96,7;97,2
2014-02-01;97,6;97,6;96,4
2014-03-01;97;97,1;95,9
2014-04-01;98,6;98,5;97,1
2014-05-01;97,8;97,3;98,9
2014-06-01;97,3;96,8;99
2014-07-01;98,1;98;96,8
2014-08-01;96,5;95,9;98,2
2014-09-01;97,4;97;99,1
2014-10-01;97,1;96,9;97,1
2014-11-01;96,8;96,7;96
2014-12-01;98,1;98;97,6
2015-01-01;97,9;97,5;99,4
2015-02-01;100,1;99,7;101,4
2015-03-01;100,7;100,6;100,4
2015-04-01;99,8;99,9;99,7
2015-05-01;100,1;100,3;99,3
2015-06-01;100,7;100,7;100,1
2015-07-01;101;100,7;103,7
2015-08-01;99,7;99,8;99,6
2015-09-01;100,2;100,2;101,3
2015-10-01;100;99,9;101,8
2015-11-01;99,8;100;97,8
2015-12-01;100,1;100,8;95,4
2016-01-01;103,4;103,9;99,5
2016-02-01;101,1;101,5;98,4
2016-03-01;100,5;100,4;101,4
2016-04-01;101,7;101,7;102,6
2016-05-01;100,2;100,3;100,4
2016-06-01;101,3;101,6;100
2016-07-01;101,1;101,3;101,3
2016-08-01;101,5;101,7;101,7
2016-09-01;101,4;101,6;101,8
2016-10-01;102,6;102,7;104,2
2016-11-01;103,1;103,2;104,1
2016-12-01;102,5;102,6;102,5
2017-01-01;102,4;102;107,7
2017-02-01;102,9;103,1;101,5
2017-03-01;102,8;103,4;98,2
2017-04-01;103,5;104;101,5
2017-05-01;103,8;104,2;103,3
2017-06-01;103,7;103,9;104,7
2017-07-01;105,1;105,6;103,3
2017-08-01;105,8;106,2;104,4
2017-09-01;105,4;106;102,7
2017-10-01;105,1;105,6;102,8
2017-11-01;107,7;108,5;105,1
2017-12-01;107,8;108,3;105,2
2018-01-01;106,4;107,8;98
2018-02-01;105,4;105,6;106,9
2018-03-01;105,8;105,8;108,2
2018-04-01;105,3;106,2;101,4
2018-05-01;106,4;107,3;101,4
2018-06-01;106,2;107,1;101,2
2018-07-01;105,4;106,1;102,4
2018-08-01;106,6;107,3;104,8
2018-09-01;105,9;106,6;102,4
2018-10-01;106;106,8;101,8
2018-11-01;104,6;105,4;102,4
2018-12-01;103,6;104,5;101,1
2019-01-01;105,4;105,9;104,5
2019-02-01;105,4;106,3;100,7
2019-03-01;105,1;106,1;100,3
2019-04-01;104,6;105,3;103,2
2019-05-01;105,4;106,1;103,9
2019-06-01;103,9;104,6;102,5
2019-07-01;103,4;104,1;102,8
2019-08-01;103,8;104,5;102,2
2019-09-01;103,9;104,8;101,5
